datetime,Annual_CO2 (ppm)
1850-06-01 12:00:00,284.317
1851-06-01 12:00:00,284.451
1852-06-01 12:00:00,284.598
1853-06-01 12:00:00,284.731
1854-06-01 12:00:00,284.846
1855-06-01 12:00:00,284.941
1856-06-01 12:00:00,285.049
1857-06-01 12:00:00,285.204
1858-06-01 12:00:00,285.369
1859-06-01 12:00:00,285.545
1860-06-01 12:00:00,285.739
1861-06-01 12:00:00,285.933
1862-06-01 12:00:00,286.1
1863-06-01 12:00:00,286.271
1864-06-01 12:00:00,286.442
1865-06-01 12:00:00,286.614
1866-06-01 12:00:00,286.781
1867-06-01 12:00:00,286.955
1868-06-01 12:00:00,287.105
1869-06-01 12:00:00,287.225
1870-06-01 12:00:00,287.355
1871-06-01 12:00:00,287.494
1872-06-01 12:00:00,287.664
1873-06-01 12:00:00,287.86
1874-06-01 12:00:00,288.061
1875-06-01 12:00:00,288.291
1876-06-01 12:00:00,288.52
1877-06-01 12:00:00,288.752
1878-06-01 12:00:00,288.993
1879-06-01 12:00:00,289.221
1880-06-01 12:00:00,289.47
1881-06-01 12:00:00,289.737
1882-06-01 12:00:00,290.019
1883-06-01 12:00:00,290.263
1884-06-01 12:00:00,290.512
1885-06-01 12:00:00,290.797
1886-06-01 12:00:00,291.1
1887-06-01 12:00:00,291.414
1888-06-01 12:00:00,291.763
1889-06-01 12:00:00,292.113
1890-06-01 12:00:00,292.458
1891-06-01 12:00:00,292.816
1892-06-01 12:00:00,293.167
1893-06-01 12:00:00,293.477
1894-06-01 12:00:00,293.791
1895-06-01 12:00:00,294.079
1896-06-01 12:00:00,294.365
1897-06-01 12:00:00,294.646
1898-06-01 12:00:00,294.954
1899-06-01 12:00:00,295.3
1900-06-01 12:00:00,295.675
1901-06-01 12:00:00,296.007
1902-06-01 12:00:00,296.325
1903-06-01 12:00:00,296.654
1904-06-01 12:00:00,296.954
1905-06-01 12:00:00,297.289
1906-06-01 12:00:00,297.662
1907-06-01 12:00:00,298.098
1908-06-01 12:00:00,298.518
1909-06-01 12:00:00,298.936
1910-06-01 12:00:00,299.377
1911-06-01 12:00:00,299.829
1912-06-01 12:00:00,300.353
1913-06-01 12:00:00,300.91
1914-06-01 12:00:00,301.419
1915-06-01 12:00:00,301.937
1916-06-01 12:00:00,302.485
1917-06-01 12:00:00,303.011
1918-06-01 12:00:00,303.449
1919-06-01 12:00:00,303.814
1920-06-01 12:00:00,304.246
1921-06-01 12:00:00,304.6
1922-06-01 12:00:00,304.945
1923-06-01 12:00:00,305.271
1924-06-01 12:00:00,305.63
1925-06-01 12:00:00,305.813
1926-06-01 12:00:00,305.954
1927-06-01 12:00:00,306.177
1928-06-01 12:00:00,306.329
1929-06-01 12:00:00,306.495
1930-06-01 12:00:00,306.62
1931-06-01 12:00:00,306.822
1932-06-01 12:00:00,307.093
1933-06-01 12:00:00,307.402
1934-06-01 12:00:00,307.785
1935-06-01 12:00:00,308.227
1936-06-01 12:00:00,309.012
1937-06-01 12:00:00,309.764
1938-06-01 12:00:00,310.294
1939-06-01 12:00:00,310.851
1940-06-01 12:00:00,311.357
1941-06-01 12:00:00,311.811
1942-06-01 12:00:00,312.172
1943-06-01 12:00:00,312.39
1944-06-01 12:00:00,312.413
1945-06-01 12:00:00,312.385
1946-06-01 12:00:00,312.39
1947-06-01 12:00:00,312.486
1948-06-01 12:00:00,312.521
1949-06-01 12:00:00,312.632
1950-06-01 12:00:00,312.821
1951-06-01 12:00:00,313.014
1952-06-01 12:00:00,313.342
1953-06-01 12:00:00,313.73
1954-06-01 12:00:00,314.095
1955-06-01 12:00:00,314.415
1956-06-01 12:00:00,314.698
1957-06-01 12:00:00,314.992
1958-06-01 12:00:00,315.345
1959-06-01 12:00:00,315.807
1960-06-01 12:00:00,316.625
1961-06-01 12:00:00,317.299
1962-06-01 12:00:00,318.044
1963-06-01 12:00:00,318.65
1964-06-01 12:00:00,319.3329
1965-06-01 12:00:00,319.8159
1966-06-01 12:00:00,320.8799
1967-06-01 12:00:00,321.4799
1968-06-01 12:00:00,322.3889
1969-06-01 12:00:00,323.2509
1970-06-01 12:00:00,324.783
1971-06-01 12:00:00,325.4
1972-06-01 12:00:00,327.3489
1973-06-01 12:00:00,329.9089
1974-06-01 12:00:00,330.756
1975-06-01 12:00:00,330.827
1976-06-01 12:00:00,331.545
